player,position,actualPts,REC
Aaron Rodgers,qb,129.6,0
Tom Brady,qb,295.9,0
Drew Brees,qb,262.6,0
Matt Ryan,qb,228.1,0
Russell Wilson,qb,347.9,0
Cam Newton,qb,299.5,0
Jameis Winston,qb,201.7,0
Marcus Mariota,qb,210.5,0
Kirk Cousins,qb,277.6,0
Dak Prescott,qb,260.7,0
Matthew Stafford,qb,273.6,0
Philip Rivers,qb,270.4,0
Ben Roethlisberger,qb,260.7,0
Derek Carr,qb,206.4,0
Andy Dalton,qb,210.7,0
Andrew Luck,qb,0,0
Eli Manning,qb,187.3,0
Tyrod Taylor,qb,222.7,0
Carson Palmer,qb,102.3,0
Carson Wentz,qb,281.7,0
Sam Bradford,qb,27,0
Joe Flacco,qb,185,0
Alex Smith,qb,295.2,0
Jay Cutler,qb,157.8,0
Blake Bortles,qb,249.7,0
Brian Hoyer,qb,63.9,0
Trevor Siemian,qb,126.1,0
DeShone Kizer,qb,175.7,0
Jared Goff,qb,255.3,0
Mike Glennon,qb,33.7,0
Josh McCown,qb,205.4,0
Deshaun Watson,qb,168.9,0
Rob Gronkowski,te,227.4,69
Travis Kelce,te,233.5,83
Greg Olsen,te,42.1,17
Jordan Reed,te,60.1,27
Jimmy Graham,te,171,57
Kyle Rudolph,te,158.2,57
Zach Ertz,te,202.4,74
Tyler Eifert,te,8.6,4
Delanie Walker,te,174.5,74
Martellus Bennett,te,58.6,30
Hunter Henry,te,126.9,45
Eric Ebron,te,132.4,53
Jack Doyle,te,169,80
Jason Witten,te,147,63
Coby Fleener,te,63.5,22
Charles Clay,te,116.8,49
CJ Fiedorowicz,te,26.7,14
Austin Hooper,te,119.6,49
Julius Thomas,te,97.8,41
Antonio Gates,te,79.6,30
Cameron Brate,te,143.1,48
Jared Cook,te,132.8,54
Evan Engram,te,173.6,64
Zach Miller,te,55.6,20
David Njoku,te,94.7,32
David Johnson,rb,13,6
LeVeon Bell,rb,341.6,85
LeSean McCoy,rb,263.6,59
Devonta Freeman,rb,200.2,36
Melvin Gordon,rb,288.1,58
DeMarco Murray,rb,171.5,39
Jay Ajayi,rb,135.1,24
Jordan Howard,rb,199.7,23
Todd Gurley,rb,383.3,64
Ezekiel Elliott,rb,203.2,26
Isaiah Crowell,rb,143.5,28
Lamar Miller,rb,193.5,36
Kareem Hunt,rb,295.2,53
Dalvin Cook,rb,65.4,11
Leonard Fournette,rb,230.2,36
Christian McCaffrey,rb,228.6,80
Marshawn Lynch,rb,164.2,20
Carlos Hyde,rb,233.8,59
Bilal Powell,rb,145.2,23
Ty Montgomery,rb,91.6,23
Mark Ingram,rb,278,58
Joe Mixon,rb,141.3,30
Ameer Abdullah,rb,124.4,25
Danny Woodhead,rb,58.6,33
CJ Anderson,rb,175.1,28
Tevin Coleman,rb,167.7,27
Theo Riddick,rb,154,53
Frank Gore,rb,173.6,29
Duke Johnson,rb,216.1,74
Terrance West,rb,28.1,2
Doug Martin,rb,76,9
Paul Perkins,rb,21.6,8
Mike Gillislee,rb,68.8,1
Adrian Peterson,rb,78.9,11
Darren Sproles,rb,18.4,7
Rob Kelley,rb,43.2,4
Matt Forte,rb,120.4,37
James White,rb,134,56
Eddie Lacy,rb,28.6,6
Derrick Henry,rb,135,11
Chris Thompson,rb,151.4,39
Chris Thompson,rb,13.4,5
Jonathan Stewart,rb,117.2,8
Giovani Bernard,rb,151.7,43
LeGarrette Blount,rb,107.6,8
Darren McFadden,rb,-0.2,0
CJ Prosise,rb,17,6
Jamaal Charles,rb,67.5,23
Shane Vereen,rb,83.7,44
Latavius Murray,rb,157.5,15
Charles Sims,rb,73.4,35
Thomas Rawls,rb,32.1,9
Rex Burkhead,rb,129.8,30
Alvin Kamara,rb,320.4,81
Jeremy Hill,rb,17.2,4
Dion Lewis,rb,203,32
Samaje Perine,rb,108.5,22
DeAndre Washington,rb,85,34
Jacquizz Rodgers,rb,46.8,9
Jamaal Williams,rb,142.8,25
Jalen Richard,rb,86.1,27
TJ Yeldon,rb,87.7,30
Robert Turbin,rb,25.9,9
Marlon Mack,rb,103.3,21
Matt Breida,rb,103.5,21
Wendell Smallwood,rb,46.7,13
Kyle Juszczyk,rb,69.6,33
Charcandrick West,rb,73.2,27
DOnta Foreman,rb,57,6
Mike Tolbert,rb,50.5,14
Jerick McKinnon,rb,178.1,51
Devontae Booker,rb,91.4,30
Damien Williams,rb,59.6,20
Tarik Cohen,rb,150.1,53
Javorius Allen,rb,166.1,46
Branden Oliver,rb,16.9,6
Chris Ivory,rb,84.7,21
Kerwynn Williams,rb,67.9,10
Zach Zenner,rb,8.6,0
Antonio Brown,wr,310.3,101
Julio Jones,wr,251.9,88
Odell Beckham,wr,74,25
Jordy Nelson,wr,137.2,53
Mike Evans,wr,203.1,71
AJ Green,wr,226.8,75
Michael Thomas,wr,258.5,104
Michael Thomas,wr,14.3,5
Amari Cooper,wr,158.4,48
TY Hilton,wr,175.6,57
Doug Baldwin,wr,223.3,75
Dez Bryant,wr,186.4,69
Brandin Cooks,wr,221.2,65
Demaryius Thomas,wr,205.9,83
DeAndre Hopkins,wr,309.8,96
Larry Fitzgerald,wr,261.4,109
Michael Crabtree,wr,171.8,58
Golden Tate,wr,224.5,92
Allen Robinson,wr,2.7,1
Keenan Allen,wr,284.2,102
Alshon Jeffery,wr,195.9,57
Tyreek Hill,wr,245.2,75
Jarvis Landry,wr,260,112
Stefon Diggs,wr,198.2,64
Terrelle Pryor,wr,50,20
Emmanuel Sanders,wr,114.5,47
Davante Adams,wr,222.5,74
Kelvin Benjamin,wr,135.2,48
Jamison Crowder,wr,160.3,66
Pierre Garcon,wr,90,40
Sammy Watkins,wr,146.3,39
Martavis Bryant,wr,132.5,50
DeVante Parker,wr,130,57
Brandon Marshall,wr,33.4,18
Jeremy Maclin,wr,102,40
Randall Cobb,wr,159.4,66
Mike Wallace,wr,151.2,52
Kenny Britt,wr,57.6,20
Eric Decker,wr,116.3,54
Adam Thielen,wr,239.7,91
DeSean Jackson,wr,138.6,50
Jordan Matthews,wr,57.2,25
Donte Moncrief,wr,77.1,26
Tyrell Williams,wr,137.8,43
Willie Snead,wr,15.2,8
Corey Coleman,wr,65.5,23
Ted Ginn,wr,159.6,53
Marvin Jones,wr,225.1,61
Rishard Matthews,wr,156.2,53
Chris Hogan,wr,109.6,34
Kevin White,wr,2.6,2
Cole Beasley,wr,91.4,36
John Brown,wr,69.9,21
Sterling Shepard,wr,144.5,59
Robby Anderson,wr,200,63
Corey Davis,wr,69.5,34
Zay Jones,wr,70.6,27
Tyler Lockett,wr,124.3,45
Mohamed Sanu,wr,174.3,67
Kenny Stills,wr,174.7,58
Marqise Lee,wr,147.9,56
Allen Hurns,wr,99.4,39
Taylor Gabriel,wr,81.7,33
Breshad Perriman,wr,17.7,10
Kendall Wright,wr,126.4,59
Josh Doctson,wr,119.8,35
Devin Funchess,wr,195,63
Kenny Golladay,wr,94.6,28
Robert Woods,wr,163.3,56
Chris Conley,wr,28.5,11
Torrey Smith,wr,90.7,36
JJ Nelson,wr,93.5,29
Marquise Goodwin,wr,168.6,56
Terrance Williams,wr,111.3,53
Brandon LaFell,wr,124.8,52
ArDarius Stewart,wr,16.9,6
Nelson Agholor,wr,193.5,62
Tavon Austin,wr,42.7,13
John Ross,wr,-0.8,0
Broncos,dst,117,0
Seahawks,dst,135,0
Texans,dst,75,0
Chiefs,dst,101,0
Vikings,dst,128,0
Cardinals,dst,106,0
Patriots,dst,95,0
Panthers,dst,126,0
Giants,dst,59,0
Jaguars,dst,208,0
Rams,dst,153,0
Steelers,dst,135,0
Ravens,dst,172,0
Eagles,dst,159,0
Chargers,dst,145,0
