player,position,beerSheetsProjPts
Aaron Rodgers,qb,6.746165151578948
Tom Brady,qb,4.738075029999999
Drew Brees,qb,3.612434077777779
Matt Ryan,qb,3.0761889288888904
Russell Wilson,qb,2.8940576988888895
Cam Newton,qb,1.9754153577777775
Jameis Winston,qb,1.777402847777777
Marcus Mariota,qb,1.7488591477777775
Kirk Cousins,qb,1.7194626399999997
Dak Prescott,qb,1.7062195744444442
Matthew Stafford,qb,1.221847372222223
Philip Rivers,qb,1.1452744155555554
Ben Roethlisberger,qb,1.0665021833333346
Derek Carr,qb,1.066114673333334
Andy Dalton,qb,1.0072258644444445
Andrew Luck,qb,0.9648245155555553
Eli Manning,qb,-0.0575519233333332
Tyrod Taylor,qb,-0.1277762088888887
Carson Palmer,qb,-0.323496287777777
Carson Wentz,qb,-0.3911018933333329
Sam Bradford,qb,-1.0541073688888893
Joe Flacco,qb,-1.4537601966666662
Alex Smith,qb,-1.7542373
Jay Cutler,qb,-2.1523181323529417
Blake Bortles,qb,-2.9188053255555553
Brian Hoyer,qb,-3.2057191444444437
Trevor Siemian,qb,-3.7374885988888886
DeShone Kizer,qb,-3.868590712222222
Jared Goff,qb,-4.33277958111111
Mike Glennon,qb,-5.966473975555555
Josh McCown,qb,-6.275558023333334
Deshaun Watson,qb,-7.548610791111111
Rob Gronkowski,te,6.900746730526317
Travis Kelce,te,5.622868085555556
Greg Olsen,te,5.037402817777778
Jordan Reed,te,4.786916726666666
Jimmy Graham,te,3.870197966666667
Kyle Rudolph,te,3.5308021933333333
Zach Ertz,te,3.441899375555556
Tyler Eifert,te,2.9941841077777775
Delanie Walker,te,2.6228348122222225
Martellus Bennett,te,2.309854286666667
Hunter Henry,te,1.8898994055555558
Eric Ebron,te,1.8065279077777778
Jack Doyle,te,1.6991119555555556
Jason Witten,te,1.3874307255555558
Coby Fleener,te,1.0368820844444444
Charles Clay,te,0.6970334933333332
CJ Fiedorowicz,te,-0.06312827222222231
Austin Hooper,te,-0.1054095322222224
Julius Thomas,te,-0.18310745888888905
Antonio Gates,te,-0.31269765666666677
Cameron Brate,te,-0.32662130777777787
Jared Cook,te,-0.35659701222222245
Evan Engram,te,-0.4408851366666665
Zach Miller,te,-1.0790101266666667
David Njoku,te,-1.1034788966666669
David Johnson,rb,14.690186204210526
LeVeon Bell,rb,13.168624335555556
LeSean McCoy,rb,8.489530595555554
Devonta Freeman,rb,8.228975079999998
Melvin Gordon,rb,7.814950069999999
DeMarco Murray,rb,6.888755665555557
Jay Ajayi,rb,6.8799993655555545
Jordan Howard,rb,6.857876438888889
Todd Gurley,rb,5.856763284444444
Ezekiel Elliott,rb,5.169483453333333
Isaiah Crowell,rb,4.783302907777777
Lamar Miller,rb,4.778249405555556
Kareem Hunt,rb,4.502773761111111
Dalvin Cook,rb,4.499365417777777
Leonard Fournette,rb,4.48356891
Christian McCaffrey,rb,4.4428921217647055
Marshawn Lynch,rb,4.203117531111111
Carlos Hyde,rb,4.121230775555555
Bilal Powell,rb,4.109173106666666
Ty Montgomery,rb,3.9862460333333334
Mark Ingram,rb,3.851072472222222
Joe Mixon,rb,3.1758369855555557
Ameer Abdullah,rb,2.7871655077777775
Danny Woodhead,rb,2.724551768888889
CJ Anderson,rb,2.5350308555555556
Tevin Coleman,rb,2.518141926666667
Theo Riddick,rb,2.2988816499999998
Frank Gore,rb,2.240298206666667
Duke Johnson,rb,2.0547933655555553
Terrance West,rb,1.8686391288888886
Doug Martin,rb,1.2813579088888887
Paul Perkins,rb,1.1673066
Mike Gillislee,rb,1.069523981111111
Adrian Peterson,rb,0.9678538122222219
Darren Sproles,rb,0.9007046266666667
Rob Kelley,rb,0.8701620447058822
Matt Forte,rb,0.7289572644444443
James White,rb,0.662416392222222
Eddie Lacy,rb,0.34928435777777783
Derrick Henry,rb,0.07507258222222224
Chris Thompson,rb,0.04449284111111106
Jonathan Stewart,rb,-0.0775239155555556
Giovani Bernard,rb,-0.15014956999999995
LeGarrette Blount,rb,-0.3760412566666666
Darren McFadden,rb,-0.7194759488888889
CJ Prosise,rb,-0.8159342122222222
Jamaal Charles,rb,-0.8713335777777781
Shane Vereen,rb,-0.9831036666666667
Latavius Murray,rb,-1.4802221866666665
Charles Sims,rb,-1.5432937744444444
Thomas Rawls,rb,-1.593210641111111
Rex Burkhead,rb,-1.6615168011111117
Alvin Kamara,rb,-1.7036007288888892
Jeremy Hill,rb,-1.7374472766666664
Dion Lewis,rb,-1.8585660866666671
Samaje Perine,rb,-2.004007048888889
DeAndre Washington,rb,-2.0234550355555556
Jacquizz Rodgers,rb,-2.1966841922222224
Jamaal Williams,rb,-2.216882098888889
Jalen Richard,rb,-2.2360695888888893
TJ Yeldon,rb,-2.4928542611111113
Robert Turbin,rb,-2.7406350069230765
Marlon Mack,rb,-2.827829875555556
Matt Breida,rb,-2.856138655714285
Wendell Smallwood,rb,-2.9577814544444436
Kyle Juszczyk,rb,-3.1061530761538454
Charcandrick West,rb,-3.2406979611111106
DOnta Foreman,rb,-3.4047985655555553
Mike Tolbert,rb,-3.407410024285715
Jerick McKinnon,rb,-3.5747791511111116
Devontae Booker,rb,-3.6047050923529413
Damien Williams,rb,-3.880513963333334
Tarik Cohen,rb,-3.95859314
Javorius Allen,rb,-3.9867403214285715
Branden Oliver,rb,-4.005672376923077
Chris Ivory,rb,-4.308785954705882
Kerwynn Williams,rb,-4.360528026153846
Zach Zenner,rb,-4.617288366666667
Antonio Brown,wr,11.163898046315788
Julio Jones,wr,9.337357668888888
Odell Beckham,wr,8.172095638235296
Jordy Nelson,wr,7.706595208888888
Mike Evans,wr,7.559305595555555
AJ Green,wr,7.174725774444446
Michael Thomas,wr,6.9152271433333325
Amari Cooper,wr,5.587073006666667
TY Hilton,wr,5.47075012
Doug Baldwin,wr,5.395603622222222
Dez Bryant,wr,5.3553785722222225
Brandin Cooks,wr,5.289954276666667
Demaryius Thomas,wr,4.942909862222223
DeAndre Hopkins,wr,4.920128642222222
Larry Fitzgerald,wr,4.476173881111111
Michael Crabtree,wr,4.429052293333333
Golden Tate,wr,4.389189138888889
Allen Robinson,wr,4.283302243333334
Keenan Allen,wr,4.095011249411766
Alshon Jeffery,wr,3.996777907777778
Tyreek Hill,wr,3.8102446244444446
Jarvis Landry,wr,3.663750330000001
Stefon Diggs,wr,3.6391724822222224
Terrelle Pryor,wr,3.593409113529412
Emmanuel Sanders,wr,3.469090507777778
Davante Adams,wr,3.377044317647059
Kelvin Benjamin,wr,3.1104134344444447
Jamison Crowder,wr,2.8686066000000006
Pierre Garcon,wr,2.7963337633333345
Sammy Watkins,wr,2.7348196344444453
Martavis Bryant,wr,2.6505662722222225
DeVante Parker,wr,2.384420448888889
Brandon Marshall,wr,2.212160062222223
Jeremy Maclin,wr,2.1294378899999997
Randall Cobb,wr,2.0227122155555555
Mike Wallace,wr,1.575851094444445
Kenny Britt,wr,1.5716289322222232
Eric Decker,wr,1.5636843977777781
Adam Thielen,wr,1.4947989911111108
DeSean Jackson,wr,1.4892399033333337
Jordan Matthews,wr,1.332097582222223
Donte Moncrief,wr,1.2937581688888888
Tyrell Williams,wr,1.251632224444445
Willie Snead,wr,0.8389247555555561
Corey Coleman,wr,0.8214865311111113
Ted Ginn,wr,0.8141401233333336
Marvin Jones,wr,0.7239275633333335
Rishard Matthews,wr,0.7064969677777782
Chris Hogan,wr,0.5952998155555562
Kevin White,wr,0.37870680999999995
Cole Beasley,wr,0.3776394788888889
John Brown,wr,0.2805735266666667
Sterling Shepard,wr,0.1404588333333335
Robby Anderson,wr,0.02777622529411783
Corey Davis,wr,-0.1650653222222221
Zay Jones,wr,-0.6436731411111111
Tyler Lockett,wr,-0.6646126612499998
Mohamed Sanu,wr,-0.7378014433333331
Kenny Stills,wr,-0.8551660966666663
Marqise Lee,wr,-0.9492228574999999
Allen Hurns,wr,-1.2401868399999998
Taylor Gabriel,wr,-1.2556729311111108
Breshad Perriman,wr,-1.540891841111111
Kendall Wright,wr,-1.565829261111111
Josh Doctson,wr,-1.6524229111111108
Devin Funchess,wr,-1.7700654222222223
Kenny Golladay,wr,-1.8977283666666669
Robert Woods,wr,-1.97105790375
Chris Conley,wr,-2.023193724444444
Torrey Smith,wr,-2.026898635555556
JJ Nelson,wr,-2.1045304799999993
Marquise Goodwin,wr,-2.141172981111111
Terrance Williams,wr,-2.272891651111111
Brandon LaFell,wr,-2.3113975675000002
ArDarius Stewart,wr,-2.648582443333334
Nelson Agholor,wr,-2.679205042352941
Tavon Austin,wr,-2.7817499252941174
John Ross,wr,-2.8549678899999997
Broncos,dst,15.0
Seahawks,dst,14.0
Texans,dst,13.0
Chiefs,dst,12.0
Vikings,dst,11.0
Cardinals,dst,10.0
Patriots,dst,9.0
Panthers,dst,8.0
Giants,dst,7.0
Jaguars,dst,6.0
Rams,dst,5.0
Steelers,dst,4.0
Ravens,dst,3.0
Eagles,dst,2.0
Chargers,dst,1.0
