player,position,actual_points,numberFire_proj_pts,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,beerSheets_proj_pts,scout_proj_pts
Tyler Boyd,WR,70.1,59,88.5,77.6,110.02,64.5,89,86.23904205,59.8,91.87,-2.471732641,104.7
Antonio Brown,WR,201.3,246.51,252.7,229.8,242.73,235.4,227,240.219006,218.1,256.53,6.771426912,252
Julio Jones,WR,176.9,225.19,217.5,214.8,174.76,220.9,205,213.4934988,223.1,224.1,5.746158494,250
Odell Beckham Jr.,WR,195.6,224.59,205,215.8,228.72,208,207,210.5238074,190.3,209.6,5.87976671,250
DeAndre Hopkins,WR,119.4,220.95,187.1,182.7,183.85,203.6,184,186.9666295,164.9,190.1,4.117124243,220
Jordy Nelson,WR,207.7,176.77,168.4,162.6,189.82,168.5,181,174.634492,173.1,166.4,2.959024175,183.9
A.J. Green,WR,120.4,173.86,181.6,183.1,144.76,186.6,167,177.340463,184.1,184.1,4.081498601,231
Dez Bryant,WR,130,171.9,172.8,161.1,202.77,179.7,163,179.0984254,183.5,183.1,3.106699408,196.5
Allen Robinson,WR,126.3,171.77,182.7,178.3,199.13,190.8,149,178.731726,169.8,175.3,3.616607184,210
Alshon Jeffery,WR,94.1,169.44,172.5,170.1,192.14,167.6,149,171.1306878,153.5,181.2,2.87806346,180.9
Brandon Marshall,WR,96.8,166.78,177.8,165.4,158.37,169.7,165,168.6225342,156.4,180.7,3.176795062,194.9
Mike Evans,WR,208.1,165.97,165.2,166,174.95,166.7,154,166.7738218,167.5,171.1,2.873980128,189
T.Y. Hilton,WR,182.8,163.68,161.1,162.7,157.05,164.8,163,162.1497999,163.3,154.44,2.448023433,173.3
Randall Cobb,WR,88.3,163.61,150.4,152,171.29,139.1,138,152.8955685,153.9,152.22,1.50800761,162.7
Sammy Watkins,WR,55,163.13,164.6,155.2,180.74,160.1,154,161.7605793,144.3,155.7,2.406242515,176.5
Jeremy Maclin,WR,65.5,159.87,149.1,147.9,126.09,144.5,146,146.0614465,150.2,146.62,1.464482195,164
Brandin Cooks,WR,168.3,159.77,152.8,157.7,188.53,162.1,149,161.224191,140.7,163.25,2.333899338,175
Demaryius Thomas,WR,136.3,159.35,146,155.8,159.88,145.5,143,148.413441,160.3,128.1,2.121699424,165
Doug Baldwin,WR,159.6,158.11,142,143.5,160.63,133.5,158,148.5640841,160.5,133.4,1.201648506,155.5
Eric Decker,WR,31.4,157.32,164.4,144.5,172.68,134.5,143,155.4333506,158.7,154,1.346847119,160.9
Amari Cooper,WR,149.3,157.23,152.8,156.3,174.33,162.5,159,161.9724539,165.1,157.78,2.351541037,175.5
Keenan Allen,WR,6.3,155.34,158.9,153.7,168.5,184,155,165.7227109,179.9,159.2,2.26243426,186.9
DeSean Jackson,WR,124.5,154.51,132.8,125.6,138.43,144.7,100,127.9169729,135.6,113.7,0.472639915,133.1
Julian Edelman,WR,132.3,152.88,138.1,129,142.79,118.3,140,138.0520892,144.9,149.09,0.815457444,160.9
Emmanuel Sanders,WR,133.6,152.29,133.7,121.9,124.73,109.6,142,128.7396529,146.2,109.86,0.266047706,136
Kelvin Benjamin,WR,134.1,151.29,140.4,137.8,146.57,113.2,139,139.3853364,138.1,140,0.763852608,156.1
Larry Fitzgerald,WR,136.8,150.38,138,132.2,117.93,141,138,134.6912779,124.1,145.1,0.903442014,158
Jarvis Landry,WR,137.3,149.55,149.2,143.7,158.98,149.4,132,151.4440927,138.1,163.4,1.187605274,154.7
Jordan Matthews,WR,98.4,140.87,122,132.3,139.16,109.7,107,128.6314424,131.8,135.7,0.361493592,142.9
Golden Tate,WR,132.1,138.25,139.4,145,148.04,144.2,127,143.216735,119.1,151.66,0.897988684,154.5
Allen Hurns,WR,65.7,136.79,106.9,127.5,140.93,129.5,105,123.3913339,124.5,124.8,0.189014773,145
DeVante Parker,WR,98.4,130.79,106,112.6,122.43,99.6,93,113.3454907,112.9,115.4,-0.490824347,120.7
Marvin Jones,WR,117.3,127.67,136.8,125.9,126.3,107.7,109,120.926902,109.3,123.35,0.02885286,145.1
Stefon Diggs,WR,109.3,126.14,109.5,116.1,116.82,109.6,96,112.8860823,139.2,102.07,-0.850434498,119.5
Donte Moncrief,WR,72.6,123,142.6,144.4,147.82,141,136,145.8897562,158.8,144.5,0.853102903,164
Michael Floyd,WR,78.8,122.39,136.7,141.8,155.62,146.7,131,143.347854,150.4,132,0.886330584,156.4
Vincent Jackson,WR,17.3,119.73,111.6,112.1,131.71,95.5,78,112.3553226,108.9,122.9,-0.740564548,110
Torrey Smith,WR,44.7,119.2,123.4,115.6,120.66,118.9,112,120.3952025,140.2,117.7,-0.306256218,130
Willie Snead,WR,119.5,118.09,112.6,115.6,105.95,118.7,99,112.0222568,116.8,116.9,-0.547111227,122.5
John Brown,WR,64.7,117.37,137.1,138.3,119.03,114.6,111,131.5444015,148.8,144.44,0.214833615,136.3
Michael Crabtree,WR,150.3,112.03,125.1,119.6,124.46,127.5,120,129.0217378,147.6,132.6,-0.094908595,133.9
Markus Wheaton,WR,13.1,109.15,91.9,101,119.75,98.9,63,96.92291463,75.2,102.79,-1.400890128,119
Josh Gordon,WR,0,106.85,103.8,100.9,88.92,75.6,82,97.56801214,117.2,105.1,-1.279144918,130.1
Kamar Aiken,WR,38.8,104.97,83,98.4,105.87,75.6,95,97.71246807,134.4,89.3,-1.715021136,115.2
Tyler Lockett,WR,83.1,101.59,125.7,128.7,140.66,128.1,113,130.0608624,129.6,123.5,-0.044188213,140.5
Terrance Williams,WR,81.4,101.5,96.9,94.1,95.5,85.3,76,91.29495045,100.2,90.7,-2.03601564,105.7
Pierre Garcon,WR,122.1,101.02,100.1,89,102.97,74.6,65,92.29593702,115.1,92.9,-2.394854664,100.8
Travis Benjamin,WR,85.4,99.68,105.8,102.3,109.29,81.5,78,102.1618897,124.6,113.1,-1.241320846,126.8
Sterling Shepard,WR,119.4,98.17,113.6,111.7,109.63,100.1,90,110.886248,115,128.4,-0.72060623,128
