player,position,beerSheets_proj_pts,espn_proj_pts,fantasyData_proj_pts,ffToday_proj_pts,cbs_proj_pts,scout_proj_pts,numberFire_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,fantasySharks_proj_pts
Aaron Rodgers,QB,4.6760138357894725,331.3,338.78,348.7,434,397.5,369.01,345.834365834658,310.5204,360.76,353.272
Tom Brady,QB,3.3793539773684214,320.7,319.44,327.4,380,387.6,346.33,326.09384034694403,280.7478,358.01,339.452
Drew Brees,QB,2.31773360263158,311.6,309.7,302.1,376,377.6,345.99,303.504110729678,250.7058,317.97,313.392
Matt Ryan,QB,1.6004092505263166,301.9,289.3,280.2,380,368.4,344.66,294.177057635794,257.6544,297.09,317.0540000000001
Russell Wilson,QB,1.574002033684211,295.1,304.78,295.6,341,363.5,315.84,294.383968547449,248.0168,313.86,298.7
Andrew Luck,QB,1.1776415673684215,288.2,279.02,271.8,330,357.5,300.9,281.32313468347,237.9588,319.28,282.106
Marcus Mariota,QB,0.5873994321052631,266.4,281.6,273.6,330,352.9,292.09,273.599626776434,220.493,299.18,282.888
Cam Newton,QB,0.5513310010526319,292.2,286.8,262.6,363,351.5,312.46,282.337011478604,217.937,312.14,284.774
Jameis Winston,QB,0.4408355963157892,277.2,289.54,282.0,343,352.2,288.02,273.176694761076,216.262,276.8,276.974
Kirk Cousins,QB,0.4365632878947364,274.9,284.06,255.5,334,352.5,302.86,274.427569721791,221.6422,295.46,307.386
Dak Prescott,QB,0.2320040873684211,274.3,285.48,270.7,319,325.5,282.33,274.933132503658,221.571,305.54,291.176
Matthew Stafford,QB,0.012704117368421784,283.6,272.68,270.8,304,308.0,283.66,265.762238636965,210.273,272.82,279.324
Philip Rivers,QB,-0.1806939789473684,252.7,279.36,262.7,334,327.4,279.43,254.837691888995,183.945,262.47,258.518
Derek Carr,QB,-0.2158320868421045,264.7,279.32,258.2,315,336.0,272.96,259.600672104552,201.9632,266.12,276.366
Andy Dalton,QB,-0.2477925831578941,252.9,277.3,264.8,295,313.0,280.7,258.90463252867903,193.1808,274.46,282.348
Ben Roethlisberger,QB,-0.4113597584210517,259.2,264.52,256.8,331,360.7,290.33,260.886214312729,226.8656,270.14,245.232
Tyrod Taylor,QB,-0.8306498099999994,254.2,252.22,266.9,301,289.0,276.33,262.879829166891,252.102,273.46,274.64
Eli Manning,QB,-1.3330689189473686,251.2,255.94,240.5,288,319.5,258.02,237.31932583554797,171.8688,250.55,252.706
Carson Palmer,QB,-1.7269504278947367,241.8,245.56,237.1,310,282.3,263.35,241.12876744685693,210.2814,238.35,261.206
Carson Wentz,QB,-1.873603089473684,249.6,263.2,238.7,271,292.9,248.52,236.590141337238,176.4846,238.36,239.922
Joe Flacco,QB,-2.7167135957894732,236.3,237.68,236.6,290,277.3,245.36,224.26807803721297,179.3342,236.68,196.704
Sam Bradford,QB,-2.7318846284210516,217.2,233.16,221.8,268,259.3,246.14,219.94173921006401,201.2244,209.24,247.302
Alex Smith,QB,-3.0846524215789475,212.7,230.58,255.4,246,262.3,229.94,226.30908513536,218.7964,208.82,243.44
Jay Cutler,QB,-3.649460156666666,210.4,219.56,201.7,264,285.9,220.88,217.04632461774898,182.85322964847674,228.64,229.772
Blake Bortles,QB,-4.170736562105264,180.9,110.06,80.0,144,288.5,135.29,162.84841840516,194.353,238.62,259.914
Brian Hoyer,QB,-5.1657141836842095,191.2,160.32,151.5,219,224.5,209.01,180.36024669574903,151.7922,176.83,270.496
Trevor Siemian,QB,-5.544785276315789,173.7,191.38,177.7,216,231.5,199.21,173.456195542673,167.9208,141.45,193.828
