player,position,ppr_points,nonppr_points
David Johnson,RB,407.8,327.8
Michael Thomas,WR,255.7,163.7
David Johnson,TE,17,10
Arian Foster,RB,19.3,13.3
Chris Johnson,RB,15.5,15.5
Jamaal Charles,RB,13.4,11.4
Adrian Peterson,RB,9,6
Javorius Allen,RB,7.9,4.9
Ezekiel Elliott,RB,325.4,293.4
LeVeon Bell,RB,317.4,242.4
LeSean McCoy,RB,298.3,248.3
DeMarco Murray,RB,293.8,240.8
Devonta Freeman,RB,284.1,230.1
Melvin Gordon,RB,250.6,209.6
Mark Ingram,RB,242.2,196.2
LeGarrette Blount,RB,232.9,225.9
Jordan Howard,RB,230.1,201.1
Jay Ajayi,RB,215.3,188.3
Frank Gore,RB,214.2,176.2
Latavius Murray,RB,208.2,175.2
Isaiah Crowell,RB,205.1,165.1
Todd Gurley,RB,198.2,155.2
Bilal Powell,RB,197,139
Spencer Ware,RB,193.8,160.8
Carlos Hyde,RB,192.1,165.1
Lamar Miller,RB,191.1,160.1
Tevin Coleman,RB,191.1,160.1
Matt Forte,RB,183.6,153.6
Jeremy Hill,RB,176.3,155.3
Terrance West,RB,171,137
Darren Sproles,RB,162.5,110.5
Theo Riddick,RB,161.8,108.8
James White,RB,161.7,101.7
Jerick McKinnon,RB,148.4,105.4
Chris Thompson,RB,147.5,98.5
Jonathan Stewart,RB,146.4,138.4
Ryan Mathews,RB,144.6,131.6
Duke Johnson,RB,144.2,91.2
Devontae Booker,RB,142.7,111.7
Ty Montgomery,RB,140.5,96.5
Rashad Jennings,RB,138.4,103.4
T.J. Yeldon,RB,137.7,87.7
Christine Michael,RB,137,115
Rob Kelley,RB,132.6,120.6
Matt Asiata,RB,132.5,100.5
Tim Hightower,RB,126.8,104.8
Mike Gillislee,RB,125.7,116.7
Giovani Bernard,RB,122.3,83.3
Jalen Richard,RB,115.5,86.5
Shaun Draughn,RB,108.9,79.9
Robert Turbin,RB,108.3,82.3
Derrick Henry,RB,105.7,92.7
C.J. Anderson,RB,102.5,86.5
Kenneth Dixon,RB,102.4,72.4
