player,position,espn_proj_pts
Adrian Peterson,RB,227.9
Todd Gurley,RB,227
David Johnson,RB,218.4
LeSean McCoy,RB,208.1
Lamar Miller,RB,206.8
Ezekiel Elliott,RB,205.2
Devonta Freeman,RB,199.4
Le'Veon Bell,RB,197.9
Mark Ingram,RB,192.6
Doug Martin,RB,188.6
C.J. Anderson,RB,179.5
Jamaal Charles,RB,176.2
Carlos Hyde,RB,172.8
DeMarco Murray,RB,169.6
Matt Forte,RB,167.9
Eddie Lacy,RB,166.4
Latavius Murray,RB,161.5
Jeremy Langford,RB,159.3
Jonathan Stewart,RB,158.5
Jeremy Hill,RB,154.8
Frank Gore,RB,152.7
Ameer Abdullah,RB,148.8
Ryan Mathews,RB,146.4
Thomas Rawls,RB,146.3
Rashad Jennings,RB,142.3
Danny Woodhead,RB,142.3
Melvin Gordon,RB,140
Giovani Bernard,RB,137.2
LeGarrette Blount,RB,132.2
Arian Foster,RB,129.4
Matt Jones,RB,127.1
Derrick Henry,RB,126.5
Isaiah Crowell,RB,121.8
T.J. Yeldon,RB,121.5
Chris Ivory,RB,120.1
Duke Johnson Jr.,RB,118
Charles Sims,RB,115.2
Theo Riddick,RB,113.3
Bilal Powell,RB,109.4
Kenneth Dixon,RB,102.1
Shane Vereen,RB,99.7
Devontae Booker,RB,97
Darren Sproles,RB,96.4
Tevin Coleman,RB,94.2
DeAngelo Williams,RB,90.6
Jay Ajayi,RB,86
Justin Forsett,RB,83.4
Jerick McKinnon,RB,82.6
Christine Michael,RB,82.3
James Starks,RB,81.9
Shaun Draughn,RB,79.9
Spencer Ware,RB,78.4
Ka'Deem Carey,RB,75.4
C.J. Spiller,RB,72.7
Chris Thompson,RB,71.1
Jordan Howard,RB,70.9
DeAndre Washington,RB,65.3
C.J. Prosise,RB,64.8
Dion Lewis,RB,64.5
Terrance West,RB,62.5
Chris Johnson,RB,60
Alfred Morris,RB,58.5
Robert Kelley,RB,56.7
Reggie Bush,RB,55.9
James White,RB,54.3
Tim Hightower,RB,52
Robert Turbin,RB,51.7
Charcandrick West,RB,49.5
Fozzy Whittaker,RB,49
Mike Tolbert,RB,46.8
Tyler Ervin,RB,45.2
Benjamin Cunningham,RB,45
Paul Perkins,RB,43.7
Andre Ellington,RB,42.7
Lance Dunbar,RB,40.3
Orleans Darkwa,RB,40.2
Brandon Bolden,RB,39.9
Mike Gillislee,RB,39.8
Javorius Allen,RB,37.4
Zach Zenner,RB,36.4
Kyle Juszczyk,RB,30
Alfred Blue,RB,26.7
Mike Davis,RB,23.8
Wendell Smallwood,RB,22.2
Ty Montgomery,RB,21.7
Ty Montgomery,WR,21.7
Antonio Brown,WR,252.7
Julio Jones,WR,217.5
Odell Beckham Jr.,WR,205
DeAndre Hopkins,WR,187.1
Allen Robinson,WR,182.7
A.J. Green,WR,181.6
Brandon Marshall,WR,177.8
Dez Bryant,WR,172.8
Alshon Jeffery,WR,172.5
Jordy Nelson,WR,168.4
Mike Evans,WR,165.2
Sammy Watkins,WR,164.6
Eric Decker,WR,164.4
T.Y. Hilton,WR,161.1
Keenan Allen,WR,158.9
Amari Cooper,WR,152.8
Brandin Cooks,WR,152.8
Randall Cobb,WR,150.4
Jarvis Landry,WR,149.2
Jeremy Maclin,WR,149.1
Demaryius Thomas,WR,146
Donte Moncrief,WR,142.6
Doug Baldwin,WR,142
Kelvin Benjamin,WR,140.4
Golden Tate,WR,139.4
Julian Edelman,WR,138.1
Larry Fitzgerald,WR,138
John Brown,WR,137.1
Marvin Jones,WR,136.8
Michael Floyd,WR,136.7
Emmanuel Sanders,WR,133.7
DeSean Jackson,WR,132.8
Tyler Lockett,WR,125.7
Michael Crabtree,WR,125.1
Torrey Smith,WR,123.4
Jordan Matthews,WR,122
Michael Thomas,WR,114
Sterling Shepard,WR,113.6
Willie Snead,WR,112.6
Kevin White,WR,112
Vincent Jackson,WR,111.6
Tavon Austin,WR,110.7
Stefon Diggs,WR,109.5
Will Fuller V,WR,109.1
Mohamed Sanu,WR,107.9
Allen Hurns,WR,106.9
DeVante Parker,WR,106
Travis Benjamin,WR,105.8
Steve Smith Sr.,WR,104.8
Josh Gordon,WR,103.8
Corey Coleman,WR,103.2
Mike Wallace,WR,100.2
Pierre Garcon,WR,100.1
Phillip Dorsett,WR,97.2
Terrance Williams,WR,96.9
Devin Funchess,WR,96.8
Chris Hogan,WR,95.7
Kenny Stills,WR,94.1
Kenny Britt,WR,92.7
Markus Wheaton,WR,91.9
Anquan Boldin,WR,90.2
Tajae Sharpe,WR,89.2
Tyler Boyd,WR,88.5
Rishard Matthews,WR,83.6
Kamar Aiken,WR,83
Eli Rogers,WR,82.5
Ted Ginn Jr.,WR,80.9
Terrelle Pryor Sr.,WR,80.2
Robert Woods,WR,79.6
Quinton Patton,WR,76.4
Jermaine Kearse,WR,74.8
Braxton Miller,WR,72.7
Laquon Treadwell,WR,69.7
Jamison Crowder,WR,69.3
Chris Conley,WR,68.7
Victor Cruz,WR,68.2
Breshad Perriman,WR,65
Cole Beasley,WR,64.8
Kendall Wright,WR,61.4
Tyrell Williams,WR,61.4
Seth Roberts,WR,59.6
Josh Doctson,WR,58.1
Marqise Lee,WR,57.8
Davante Adams,WR,57.2
Eddie Royal,WR,56.7
Quincy Enunwa,WR,55.7
Jaelen Strong,WR,54.3
Dorial Green-Beckham,WR,53.6
Jeremy Kerley,WR,52.6
Brandon LaFell,WR,49.1
Rob Gronkowski,TE,168.3
Jordan Reed,TE,142.4
Greg Olsen,TE,134.6
Delanie Walker,TE,124.8
Coby Fleener,TE,120.8
Travis Kelce,TE,116.7
Gary Barnidge,TE,116.4
Jason Witten,TE,107.3
Julius Thomas,TE,106.3
Antonio Gates,TE,106.3
Zach Ertz,TE,104.2
Zach Miller,TE,96.2
Jimmy Graham,TE,92.6
Eric Ebron,TE,91.1
Clive Walford,TE,90.7
Jared Cook,TE,90.5
Martellus Bennett,TE,88.5
Charles Clay,TE,87.9
Dwayne Allen,TE,86.9
Tyler Eifert,TE,86.4
Jordan Cameron,TE,78.2
Kyle Rudolph,TE,76.8
Larry Donnell,TE,72.8
Vance McDonald,TE,66.9
Austin Seferian-Jenkins,TE,64.9
Virgil Green,TE,58.6
Jacob Tamme,TE,58
Crockett Gillmore,TE,52.6
Ladarius Green,TE,49.9
Maxx Williams,TE,49.4
Josh Hill,TE,47.6
Will Tye,TE,45.1
Austin Hooper,TE,42.9
Jesse James,TE,42.3
Cameron Brate,TE,42.3
Cam Newton,QB,337.1
Aaron Rodgers,QB,312.1
Russell Wilson,QB,306.1
Andrew Luck,QB,295.9
Drew Brees,QB,291.6
Ben Roethlisberger,QB,283.4
Kirk Cousins,QB,283
Matthew Stafford,QB,281.4
Eli Manning,QB,274.2
Philip Rivers,QB,269.4
Tyrod Taylor,QB,268.3
Carson Palmer,QB,265.2
Andy Dalton,QB,264.4
Blake Bortles,QB,263.3
Ryan Fitzpatrick,QB,262.2
Alex Smith,QB,261.5
Jameis Winston,QB,260.9
Derek Carr,QB,255.2
Ryan Tannehill,QB,251.8
Brock Osweiler,QB,247.4
Joe Flacco,QB,244.3
Matt Ryan,QB,243.4
Robert Griffin III,QB,240.1
Marcus Mariota,QB,235.8
Tom Brady,QB,232.8
Jay Cutler,QB,222.9
Carson Wentz,QB,222.7
Blaine Gabbert,QB,197.3
Sam Bradford,QB,185
Tony Romo,QB,159.6
Trevor Siemian,QB,133.1
Dak Prescott,QB,106.9
Case Keenum,QB,105.2
Jimmy Garoppolo,QB,68
Paxton Lynch,QB,66.2
Jared Goff,QB,48.2
Colin Kaepernick,QB,29.1
Shaun Hill,QB,18.5
Chase Daniel,QB,17.3
Geno Smith,QB,17.2
Broncos,D/ST,141.5
Bengals,D/ST,123.1
Panthers,D/ST,122.7
Packers,D/ST,121
Cardinals,D/ST,120.1
Seahawks,D/ST,117.7
Jets,D/ST,116.3
Bills,D/ST,114.3
Raiders,D/ST,113.6
Chiefs,D/ST,113.4
Texans,D/ST,113.4
Rams,D/ST,112
Buccaneers,D/ST,103
Ravens,D/ST,100.3
Lions,D/ST,97.2
