player,position,cbs_proj_pts,espn_proj_pts,fantasyData_proj_pts,fantasyPros_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,nfl_proj_pts,yahoo_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,seanKoerner_proj_pts,numberFire_proj_pts
Broncos,DST,121,141.5,122,,163.5,122,108,,126.4,130.8864069,118,140.2
Texans,DST,122,113.4,121,,113,106,105,,115.3,115.2009062,112.8,140.1
Steelers,DST,125,91.7,115,,117.4,108,103,,119.95,119.516357,110.6,130.3
Chiefs,DST,121,113.4,109,,142.9,124,111,,121.9,139.4963752,115.6,129.9
Seahawks,DST,112,117.7,113,,95,129,107,,110.5,111.8351609,108.4,126.3
Jets,DST,113,116.3,102,,85.5,104,94,,105.9,106.84744,112.2,126.2
Cardinals,DST,124,120.1,130,,128.9,130,93,,122.3,125.4806072,117,122.5
Packers,DST,122,121,111,,118.4,102,109,,114.7,116.4178523,115.8,122.1
Rams,DST,178,112,112,,149,112,108,,117.475,118.6838542,110.6,119.9
Panthers,DST,135,122.7,124,,165.9,123,112,,132.5,136.9875396,113.4,119.6
Vikings,DST,122,96.1,119,,143.6,106,109,,118.6,118.0437698,111.6,116.7
Patriots,DST,105,92.3,116,,95.1,107,106,,114.2,112.9299955,113.6,115.9
Bengals,DST,118,123.1,116,,109.8,110,101,,111.4,111.9628455,114.6,115.5
Colts,DST,120,88.6,101,,131.7,93,100,,109.5,110.9297236,108.2,115.1
Raiders,DST,115,113.6,108,,110.7,111,103,,112.6,113.5121432,103,113.3
Lions,DST,123,97.2,98,,83.4,101,102,,105.8,107.1079293,107,112.8
Jaguars,DST,120,92.4,93,,114.4,112,101,,115.2,113.7110104,99.8,110.9
Eagles,DST,117,87.5,111,,91.3,108,104,,114.25,113.753285,108,109.3
Falcons,DST,105,90.6,95,,59.3,84,106,,96.25,94.31060263,97.4,106
Titans,DST,91,82.2,88,,46.4,72,104,,96.3,96.48717716,104,104.9
Giants,DST,109,88.7,91,,64.9,91,93,,105.95,104.3117807,106.2,101
Redskins,DST,126,82.5,102,,104.5,89,103,,112.45,112.4802447,109.2,99.8
Bears,DST,120,87.4,95,,83.1,86,96,,96.95,96.96089715,102,97.4
Buccaneers,DST,119,103,105,,81.6,104,105,,109.15,107.9389216,104,95.2
Aaron Rodgers,QB,300.38,316.404,326.42,318.216,324.202,336.08,328.26,300.12,318.329,316.7945673,320,356.8
Cam Newton,QB,335.26,340.012,346.06,327.738,371.392,335.6,308.32,328.2,333.147,335.0832837,328.3,342.2
Andrew Luck,QB,272.06,299.352,314.2,297.998,323.41,309.22,288.14,291.54,298.0245,297.5592945,303.4,329.5
Drew Brees,QB,266.18,294.17,303.16,289.748,269.246,288.8,303.86,291.01,291.11,286.6549276,300.7,326.8
Carson Palmer,QB,269.46,269.172,281.04,273.54,257.014,265.96,264.84,272.66,268.824,267.4547044,271.6,325.8
Russell Wilson,QB,326.34,312.766,320.56,312.172,347.538,329.6,288.94,297.26,315.643,315.7104736,310.5,317
Ben Roethlisberger,QB,261.46,279.702,286.58,278.598,285.202,280.92,275.26,288.71,278.5,278.7298574,270.3,307
Blake Bortles,QB,246.72,272.162,284.26,267.776,300.992,291.78,272.98,270.2,275.3055,275.0163012,275.5,282.2
Philip Rivers,QB,247.62,271.57,278.46,262.248,282.91,279.6,281.66,267.75,270.8945,271.3984456,267,275.4
Andy Dalton,QB,250.64,267.798,261.4,260.086,252.574,257.9,261.78,276.48,257.808,259.4058585,259.7,274.9
Eli Manning,QB,246.62,280.144,279.78,264.204,269.894,273.62,249.2,279.11,267.1725,267.1156124,277.2,272.5
Matt Ryan,QB,233.66,250.096,257.4,246.322,248.348,247.24,245.38,244.84,244.807,244.1793156,243,272.1
Matthew Stafford,QB,248.64,284.348,268.36,258.288,285.332,247.16,252.26,272.68,262.407,263.5159568,252.2,270.9
Jameis Winston,QB,259.06,263.82,270.24,253.884,279.936,267.64,265.46,254.78,261.915,264.027836,268,255.5
Ryan Fitzpatrick,QB,232.72,264.314,262.7,249.93,276.792,263.54,280.14,255.62,257.6,260.1947678,242.9,254.9
Kirk Cousins,QB,244.16,293.372,264.66,258.464,282.976,266.1,264.2,269.69,263.508,266.5365384,252.8,253.4
Alex Smith,QB,241.82,263.78,258.5,245.606,257.274,261.36,264.42,242.9,252.7635,253.7843877,243.9,249.9
Tom Brady,QB,237.02,233.564,241.74,232.66,241.298,248.58,222.16,221.28,233.452,234.5416509,230.6,246.1
Joe Flacco,QB,242.38,250.496,253.6,235.314,229.13,228.8,253.08,230.77,238.9615,239.6466648,243.2,240.3
Brock Osweiler,QB,234.72,252.164,222.24,230.472,188.92,236.1,198.88,248.96,229.638,224.7799995,220.1,225.5
