player,position,espn_proj_pts,cbs_proj_pts,fantasyData_proj_pts,fantasyPros_proj_pts,fantasySharks_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,ffToday_proj_pts,nfl_proj_pts,yahoo_proj_pts
Jaguars,DST,110.6,118,102,,100.9,96.44,93.29404622,67,107.54,
Seahawks,DST,109.5,116,103,,69,100.87,114.7655732,106,110.78,
Bengals,DST,106.4,108,99,,89.6,95.03,107.9393974,95,98.45,
Rams,DST,106,97,93,,105,115.635,115.7746008,98,108.72,
Steelers,DST,105.8,118,100,,105.4,100.6,101.1962302,103,104.32,
Cardinals,DST,104.7,133,133,,141.4,118.22,118.6139964,131,99.01,
Chargers,DST,103.3,105,106,,87,93.78,96.30474622,102,99.91,
Vikings,DST,103.2,135,110,,99.5,105.46,105.2515043,96,113.33,
Texans,DST,101.7,118,118,,116,105.525,106.2792796,104,104.53,
Broncos,DST,101.4,127,121,,127.2,111.335,127.0249524,127,109.23,
Ravens,DST,101,116,100,,88.5,97.53,95.45555052,99,101.1,
Chiefs,DST,96.2,116,116,,125.3,106.17,120.447961,111,102.95,
Titans,DST,94.7,117,93,,91.3,98.42,98.99308111,95,103.47,
Falcons,DST,92.2,103,101,,111.6,102.325,102.1689669,99,107.99,
Dolphins,DST,91.1,106,92,,65.6,95.1,95.4518396,105,97.69,
Aaron Rodgers,QB,330.446,338.46,337.72,337.4,353.272,342.583,340.5186515,352.7,310.5204,352.62
Tom Brady,QB,331.408,303.68,321.2,320.3,339.452,328.46,322.4973001,329.4,280.7478,336.06
Matt Ryan,QB,304.904,318.36,290.06,298.1,317.054,298.981,294.4329527,288.16,257.6544,293.74
Tyrod Taylor,QB,286.268,260.78,273.92,267.3,271.908,273.7085,272.2659574,270.9,252.102,286.26
Drew Brees,QB,313.982,298.62,310.54,304.1,313.392,308.646,303.3623639,310.14,250.7058,319.62
Russell Wilson,QB,300.506,268.06,299.5,291.8,298.7,296.056,291.7119118,301.58,248.0168,314.2
Andrew Luck,QB,303.912,260.68,303.4,292.5,271.11,296.538,287.5013957,301.58,237.9588,322.2
Ben Roethlisberger,QB,260.464,255.32,263.5,259.3,260.854,263.176,259.8622031,260.8,226.8656,255.67
Kirk Cousins,QB,276.842,269.68,288.26,269.3,307.386,277.445,274.1256312,259.48,221.6422,298.32
Dak Prescott,QB,279.638,280.5,282.18,272.5,283.744,276.7345,271.6174432,260.66,221.571,297.68
Marcus Mariota,QB,274.278,266.72,281.7,272,264.712,272.875,270.420514,277.56,220.493,303.2
Alex Smith,QB,216.312,225.58,238.88,233.1,243.44,230.438,229.3343318,257.4,218.7964,205.54
Cam Newton,QB,293.156,295.56,290.58,279.4,284.414,284.90425,282.0220682,268.64,217.937,308.9
Jameis Winston,QB,282.642,283.2,291.16,284.1,276.974,281.5655,274.194339,292,216.262,277.3
Carson Palmer,QB,250.308,229,244.02,238.3,261.206,242.40275,236.9758621,245.1,210.2814,225.36
Matthew Stafford,QB,285.73,252.86,274,266,279.324,273.0705,265.4883292,274.8,210.273,272.04
Ryan Tannehill,QB,255.47,235.68,254.02,245.9,247.742,246.3925,245.2783229,259.74,206.586,256.22
