player,position,beerSheets_proj_pts,espn_proj_pts,fantasyData_proj_pts,ffToday_proj_pts,cbs_proj_pts,scout_proj_pts,numberFire_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,fantasySharks_proj_pts
Aaron Rodgers,QB,4.755670853333334,331.4,338.78,348.7,434,397.5,369.01,345.833328,310.5204,360.76,342.172
Tom Brady,QB,3.4108215577777785,328.9,320.44,327.4,380,387.6,346.33,327.3085083,280.7478,358.01,331.452
Drew Brees,QB,2.416416716666668,317.2,310.16,302.1,376,377.6,345.99,304.3393607,250.7058,317.97,298.592
Matt Ryan,QB,1.6903937900000008,301.7,289.3,280.2,380,368.4,344.66,294.2296144,257.6544,297.09,304.454
Russell Wilson,QB,1.6721722922222229,295.1,304.78,295.6,340,363.5,315.84,293.867866,248.0168,313.86,284.7
Andrew Luck,QB,1.4926070244444452,288.2,284.18,278.8,330,357.5,300.9,283.6836426000001,237.9588,319.28,260.706
Jameis Winston,QB,0.5415340877777777,277.8,289.3,282.0,343,352.2,288.02,273.2472642,216.262,276.8,254.574
Marcus Mariota,QB,0.5261403777777779,266.2,283.4,273.6,330,352.9,292.09,274.00906210000005,220.493,299.18,265.688
Kirk Cousins,QB,0.5220008244444447,274.9,284.06,255.5,334,352.5,302.86,274.14988989999995,221.6422,295.46,293.786
Cam Newton,QB,0.4943112011111114,292.2,286.8,262.6,363,351.5,312.46,282.2637215,217.937,312.14,263.514
Dak Prescott,QB,0.2683543066666669,267.9,285.4,270.7,319,325.5,282.33,274.1620325,221.571,305.54,281.076
Philip Rivers,QB,-0.05611794555555568,252.7,279.36,262.7,334,327.4,279.43,254.7065017,183.945,262.47,235.018
Derek Carr,QB,-0.09219428444444393,264.7,279.12,258.2,315,336.0,272.96,259.5718251,201.9632,266.12,258.066
Matthew Stafford,QB,-0.15003106999999904,283.6,272.68,270.8,304,308.0,283.66,265.7612008,210.273,272.82,267.42400000000004
Andy Dalton,QB,-0.21444427444444425,252.9,277.3,264.8,295,313.0,280.7,258.9035947,193.1808,274.46,270.848
Ben Roethlisberger,QB,-0.2882234911111104,259.2,264.52,256.8,331,360.7,290.33,260.60326969999994,226.8656,270.14,219.408
Tyrod Taylor,QB,-0.4213352266666657,268.2,257.08,266.9,301,289.0,276.33,267.0521028,252.102,273.46,265.64
Eli Manning,QB,-1.232194294444444,251.1,255.98,240.5,288,319.5,258.02,237.3364094,171.8688,250.55,231.806
Blake Bortles,QB,-1.2937866055555547,180.9,140.4,242.5,225,288.5,241.87,208.8506496,194.353,238.62,239.014
Carson Palmer,QB,-1.5485692044444432,241.9,245.56,237.1,310,282.3,263.35,240.98031319999998,210.2814,238.35,244.706
Carson Wentz,QB,-1.7043831233333333,252.5,263.3,238.7,271,292.9,248.52,236.9341792,176.4846,238.36,221.122
Joe Flacco,QB,-2.624583103333332,236.1,237.96,240.6,290,277.3,245.36,224.60306269999998,179.3342,236.68,169.636
Sam Bradford,QB,-2.6562913966666666,217.1,232.8,221.8,268,259.3,246.14,219.88046319999998,201.2244,209.24,236.102
Alex Smith,QB,-2.9078546411111112,211.7,231.44,255.4,246,262.3,226.53,231.22226040000004,218.7964,208.82,233.74
Jay Cutler,QB,-3.6805504852941184,210.5,219.3,201.7,264,285.9,216.7,216.99438080000002,0.0,228.64,208.072
Brian Hoyer,QB,-5.110708747777777,198.1,161.02,151.5,219,224.5,209.01,181.4228563,151.7922,176.83,257.896
Jared Goff,QB,-5.928227517777778,181.0,188.94,126.3,206,244.9,214.06,151.9022936,103.154,161.04,119.67
Trevor Siemian,QB,-6.646394838888887,164.6,188.86,177.7,216,231.5,199.21,162.0498341,167.9208,141.45,177.72799999999995
Mike Glennon,QB,-6.92469969,131.6,136.1,159.6,225,243.0,234.63,160.3547082,183.9174,192.12,171.356
Josh McCown,QB,-7.723172586666666,102.7,129.22,141.7,185,215.9,196.31,132.6642784,166.6046,77.11,158.388
Deshaun Watson,QB,-8.029461515555555,140.1,135.44,124.3,81,273.5,91.03,119.6531103,0.0,205.0,-2.65
DeShone Kizer,QB,-9.44257660307692,121.6,118.36,57.0,77,13.4,,49.05687776,0.0,0.0,15.75
Rob Gronkowski,TE,3.940944464444444,156.5,156.3,144.0,129,173.0,169.15,151.5141264,149.852,170.3,136.72
Travis Kelce,TE,2.6155243355555555,131.9,127.8,141.5,109,152.8,132.47,129.3184758,131.088,133.0,122.18
