"playerId","player","team","playerposition","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","games","ptsGame","vor","overallRank","vorLow","vorHigh","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","sleeper"
2508061,"Antonio Brown","PIT","WR",28,6,8,248.01,248.01,248.01,NA,1,35.335,1,0,1.3,1.1,0.2,2.96754117449307,16,15.500625,128.78,1,128.78,128.78,7.94964285714286,7.94964285714286,7.94964285714286,1.5383,56.3375,-0.5383,57,NA
2507164,"Adrian Peterson","MIN","RB",31,9,6,236.18,236.18,236.18,NA,1,9.31999999999999,1,0,8,3.4,1.6,2.11069855342398,16,14.76125,115.033333333333,2,115.033333333333,115.033333333333,7.07395833333333,7.07395833333333,7.07395833333333,6.57,47.3675,-4.57,43,NA
2552475,"Todd Gurley","LA","RB",22,1,8,231.93,231.93,231.93,NA,2,15.79,1,0,4.9,2,1.2,3.49015208632352,16,14.495625,110.783333333333,3,110.783333333333,110.783333333333,6.80833333333333,6.80833333333333,6.80833333333333,4.29,49.725,-1.29,45,NA
2553435,"David Johnson","ARI","RB",25,1,9,221.79,221.79,221.79,NA,3,12.5,1,0,5.8,2.2,1.8,2.05003952395456,16,13.861875,100.643333333333,4,100.643333333333,100.643333333333,6.17458333333333,6.17458333333333,6.17458333333333,6.5667,45.865,-2.5667,42,NA
2495454,"Julio Jones","ATL","WR",27,5,11,219.76,219.76,219.76,NA,2,23.405,1,0,3.5,2.7,0.5,4.87479395369774,16,13.735,100.53,5,100.53,100.53,6.18401785714286,6.18401785714286,6.18401785714286,4.7033,52.615,0.2967,48,NA
79607,"LeSean McCoy","BUF","RB",28,7,10,210.49,210.49,210.49,NA,4,2.595,0,0,21.8,9.8,2.4,3.37443988643199,16,13.155625,89.3433333333333,6,89.3433333333333,89.3433333333333,5.46833333333333,5.46833333333333,5.46833333333333,25.2867,26.805,-19.2867,25,NA
2533034,"Lamar Miller","HOU","RB",25,4,9,208.09,208.09,208.09,NA,5,3.42999999999998,0,0,11,4.8,1.9,2.28487757548063,16,13.005625,86.9433333333333,7,86.9433333333333,86.9433333333333,5.31833333333333,5.31833333333333,5.31833333333333,12.575,39.26,-5.575,36,NA
2555224,"Ezekiel Elliott","DAL","RB",21,0,7,207.7,207.7,207.7,NA,6,8.72999999999999,0,0,9,4,1.8,2.93017016941586,16,12.98125,86.5533333333333,8,86.5533333333333,86.5533333333333,5.29395833333333,5.29395833333333,5.29395833333333,8.0783,47.4625,-0.0783000000000005,43,NA
2543496,"Odell Beckham","NYG","WR",24,2,8,205.59,205.59,205.59,NA,3,20.835,1,0,3,2.3,0.6,4.84603875495398,16,12.849375,86.36,9,86.36,86.36,5.29839285714286,5.29839285714286,5.29839285714286,3.4933,53.765,5.5067,49,NA
2543583,"Devonta Freeman","ATL","RB",24,2,11,201.62,201.62,201.62,NA,7,6.16499999999999,0,0,20.1,8.9,4,5.29260133635942,16,12.60125,80.4733333333333,10,80.4733333333333,80.4733333333333,4.91395833333333,4.91395833333333,4.91395833333333,16.2883,34.2925,-6.2883,31,NA
2540175,"LeVeon Bell","PIT","RB",24,3,8,196.32,196.32,196.32,NA,8,1.965,0,0,NA,NA,NA,10.7107567944527,14.5,13.5393103448276,75.1733333333333,11,75.1733333333333,75.1733333333333,5.85201867816092,5.85201867816092,5.85201867816092,14.26,40.7025,-3.26,37,NA
2495466,"Mark Ingram","NO","RB",27,5,5,194.59,194.59,194.59,NA,9,1.41,0,0,20.8,9.1,2.9,5.32156539039693,16,12.161875,73.4433333333333,12,73.4433333333333,73.4433333333333,4.47458333333333,4.47458333333333,4.47458333333333,22.8433,29,-10.8433,27,NA
925,"Jamaal Charles","KC","RB",30,8,5,194.12,194.12,194.12,NA,10,10.075,0,0,25.4,11.1,4.9,4.28619349919595,16,12.1325,72.9733333333333,13,72.9733333333333,72.9733333333333,4.44520833333333,4.44520833333333,4.44520833333333,21.9067,31.1025,-8.9067,28,NA
2532899,"Doug Martin","TB","RB",27,4,6,192.24,192.24,192.24,NA,11,18.075,0,0,22.7,10.3,2.7,3.43013978313808,16,12.015,71.0933333333333,14,71.0933333333333,71.0933333333333,4.32770833333333,4.32770833333333,4.32770833333333,23.7633,29.575,-9.7633,27,NA
2495455,"Cam Newton","CAR","QB",27,5,7,340.012,340.012,340.012,NA,1,25.427,1,0,34.2,1.6,0.9,5.24881434301083,16,21.25075,70.4986666666667,15,70.4986666666667,70.4986666666667,4.40616666666667,4.40616666666667,4.40616666666667,17.8183,31.3825,-2.8183,29,NA
