"playerId","player","team","playerposition","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","games","ptsGame","vor","overallRank","vorLow","vorHigh","vorGame","vorGameLow","vorGameHigh","adp","auctionValue","adpDiff","cost","sleeper"
2508061,"Antonio Brown","PIT","WR",28,6,8,229.8,229.8,229.8,NA,1,14.4,1,0,1.3,1.1,0.2,1.58469483417658,16,14.3625,108.966666666667,1,108.966666666667,108.966666666667,6.81041666666667,6.81041666666667,6.81041666666667,1.5383,56.3375,-0.5383,57,NA
2552475,"Todd Gurley","LA","RB",22,1,8,222,222,222,NA,1,10.15,1,0,4.9,2,1.2,2.93435128874923,16,13.875,103.233333333333,2,103.233333333333,103.233333333333,6.45208333333333,6.45208333333333,6.45208333333333,4.29,49.725,-2.29,45,NA
2507164,"Adrian Peterson","MIN","RB",31,9,6,214.7,214.7,214.7,NA,2,7.75000000000003,1,0,8,3.4,1.6,1.51364739535699,16,13.41875,95.9333333333334,3,95.9333333333334,95.9333333333334,5.99583333333333,5.99583333333333,5.99583333333333,6.57,47.3675,-3.57,43,NA
2543496,"Odell Beckham","NYG","WR",24,2,8,215.9,215.9,215.9,NA,2,16.9,1,0,3,2.3,0.6,3.90331154713128,16,13.49375,95.0666666666667,4,95.0666666666667,95.0666666666667,5.94166666666667,5.94166666666667,5.94166666666667,3.4933,53.765,0.5067,49,NA
2495454,"Julio Jones","ATL","WR",27,5,11,214.9,214.9,214.9,NA,3,32,0,0,3.5,2.7,0.5,3.88782585013253,16,13.43125,94.0666666666667,5,94.0666666666667,94.0666666666667,5.87916666666667,5.87916666666667,5.87916666666667,4.7033,52.615,0.2967,48,NA
2553435,"David Johnson","ARI","RB",25,1,9,209,209,209,NA,3,4.14999999999998,1,0,5.8,2.2,1.8,1.50422543011116,16,13.0625,90.2333333333333,6,90.2333333333333,90.2333333333333,5.63958333333333,5.63958333333333,5.63958333333333,6.5667,45.865,-0.5667,42,NA
2555224,"Ezekiel Elliott","DAL","RB",21,0,7,204.9,204.9,204.9,NA,4,5,1,0,9,4,1.8,2.48489876738691,16,12.80625,86.1333333333333,7,86.1333333333333,86.1333333333333,5.38333333333333,5.38333333333333,5.38333333333333,8.0783,47.4625,-1.0783,43,NA
2533034,"Lamar Miller","HOU","RB",25,4,9,204.8,204.8,204.8,NA,5,12.4,0,0,11,4.8,1.9,1.7949737221803,16,12.8,86.0333333333333,8,86.0333333333333,86.0333333333333,5.37708333333333,5.37708333333333,5.37708333333333,12.575,39.26,-4.575,36,NA
2495455,"Cam Newton","CAR","QB",27,5,7,346.06,346.06,346.06,NA,1,22.57,1,0,34.2,1.6,0.9,4.92848184207415,16,21.62875,78.46,9,78.46,78.46,4.83708333333333,4.83708333333333,4.83708333333333,17.8183,31.3825,-8.8183,29,NA
2540175,"LeVeon Bell","PIT","RB",24,3,8,195,195,195,NA,6,6.44999999999999,0,0,NA,NA,NA,10.3121169998171,14.5,13.448275862069,76.2333333333333,10,76.2333333333333,76.2333333333333,6.0253591954023,6.0253591954023,6.0253591954023,14.26,40.7025,-4.26,37,NA
2540168,"Eddie Lacy","GB","RB",25,3,4,189.8,189.8,189.8,NA,7,2.65000000000001,0,0,22,9.8,2.7,4.6615876677444,16,11.8625,71.0333333333333,11,71.0333333333333,71.0333333333333,4.43958333333333,4.43958333333333,4.43958333333333,20.3917,29.59,-9.3917,27,NA
497240,"Rob Gronkowski","NE","TE",27,6,9,174.5,174.5,174.5,NA,1,29.65,1,0,10.9,1,0,2.2674020223041,16,10.90625,69.9333333333333,12,69.9333333333333,69.9333333333333,4.37083333333333,4.37083333333333,4.37083333333333,11.115,44.3825,0.885,40,NA
79607,"LeSean McCoy","BUF","RB",28,7,10,187.3,187.3,187.3,NA,8,1.05000000000001,0,0,21.8,9.8,2.4,3.1544196693264,16,11.70625,68.5333333333333,13,68.5333333333333,68.5333333333333,4.28333333333333,4.28333333333333,4.28333333333333,25.2867,26.805,-12.2867,25,NA
2532899,"Doug Martin","TB","RB",27,4,6,187,187,187,NA,9,2.09999999999999,0,0,22.7,10.3,2.7,3.30373227767029,16,11.6875,68.2333333333333,14,68.2333333333333,68.2333333333333,4.26458333333333,4.26458333333333,4.26458333333333,23.7633,29.575,-9.7633,27,NA
925,"Jamaal Charles","KC","RB",30,8,5,185.5,185.5,185.5,NA,10,1.39999999999998,0,0,25.4,11.1,4.9,4.89740989755884,16,11.59375,66.7333333333333,15,66.7333333333333,66.7333333333333,4.17083333333333,4.17083333333333,4.17083333333333,21.9067,31.1025,-6.9067,28,NA
2543583,"Devonta Freeman","ATL","RB",24,2,11,184.3,184.3,184.3,NA,11,6.85000000000002,0,0,20.1,8.9,4,5.75703652222818,16,11.51875,65.5333333333333,16,65.5333333333333,65.5333333333333,4.09583333333333,4.09583333333333,4.09583333333333,16.2883,34.2925,-0.2883,31,NA
