player,position,my_proj
David Johnson,RB,213.21390607284093
LeVeon Bell,RB,193.4049614219096
Leonard Fournette,RB,173.67645968115463
Jay Ajayi,RB,161.09214349868165
Todd Gurley,RB,155.91324687716877
Marshawn Lynch,RB,155.35332094374667
Dalvin Cook,RB,151.40489598068098
Jordan Howard,RB,151.0638561440357
Melvin Gordon,RB,147.56472899915843
Devonta Freeman,RB,146.98156578059795
LeSean McCoy,RB,146.40534780414146
Carlos Hyde,RB,138.97435307808826
Isaiah Crowell,RB,138.25131399574585
DeMarco Murray,RB,136.074016867637
Joe Mixon,RB,134.3076441186561
Paul Perkins,RB,133.4448604176971
Ezekiel Elliott,RB,132.45212715793357
Doug Martin,RB,131.97107597252017
Adrian Peterson,RB,131.8027549880351
Lamar Miller,RB,131.36478314020678
Derrick Henry,RB,130.37026427421185
Ty Montgomery,RB,128.81265223580544
Mike Gillislee,RB,127.15410718746136
Mark Ingram,RB,125.8241733836254
Christian McCaffrey,RB,123.57315760428482
LeGarrette Blount,RB,123.57163806610144
Bilal Powell,RB,123.19174638538772
CJ Anderson,RB,122.90333352804252
Eddie Lacy,RB,122.88972893509131
Frank Gore,RB,122.06827575595322
Spencer Ware,RB,117.97724927801171
Terrance West,RB,113.38428750847638
Rex Burkhead,RB,112.46786899772613
Ameer Abdullah,RB,110.86044598579664
Jonathan Stewart,RB,109.70660489025991
Matt Forte,RB,109.1399182396147
Tevin Coleman,RB,108.14907415524067
Duke Johnson,RB,106.4088779410768
Rob Kelley,RB,101.77951529225359
Darren McFadden,RB,98.80596561229967
Kareem Hunt,RB,98.33914239816966
Theo Riddick,RB,96.42087578235477
Shane Vereen,RB,92.15220601786234
Giovani Bernard,RB,92.02491647701876
Chris Thompson,RB,91.64974842409315
Darren Sproles,RB,91.09910620665502
Robert Turbin,RB,89.72486510315962
Samaje Perine,RB,87.47790962793319
Jamaal Charles,RB,87.20390567566842
Jamaal Williams,RB,83.40231982289777
CJ Prosise,RB,82.55969763346371
Thomas Rawls,RB,81.66600278968644
Latavius Murray,RB,81.0417406067659
James White,RB,81.01493287603034
DeAndre Washington,RB,80.52892039016402
Jeremy Hill,RB,78.4170586801205
Danny Woodhead,RB,75.0810552458689
Charles Sims,RB,72.39735926880334
Dion Lewis,RB,69.86187444437793
Jacquizz Rodgers,RB,68.680114331548
Broncos,DST,125.72581326098474
Chiefs,DST,121.69964549070517
Texans,DST,120.34411988318953
Cardinals,DST,117.60270212734761
Vikings,DST,109.8171292596702
Seahawks,DST,109.27117002735045
Ravens,DST,104.04500815295248
Chargers,DST,94.54489280284646
Bengals,DST,94.41958544960902
Rams,DST,94.40312321422395
Jaguars,DST,85.48672178082587
Steelers,DST,84.48582190599124
Falcons,DST,77.09443525433905
Titans,DST,67.65331549108797
Jets,DST,51.40651589887641
Rob Gronkowski,TE,108.3374399123562
Greg Olsen,TE,97.78851352394348
Travis Kelce,TE,97.72472227383996
Jordan Reed,TE,96.77093738938167
Jimmy Graham,TE,93.53071175248047
Kyle Rudolph,TE,89.76770896375614
Zach Ertz,TE,87.15676545948656
Tyler Eifert,TE,86.11018443197659
Delanie Walker,TE,84.39570784724329
Martellus Bennett,TE,83.53687569768873
Eric Ebron,TE,80.92889307919695
Hunter Henry,TE,79.01685034111746
Jack Doyle,TE,76.81849745654034
Jason Witten,TE,76.80496943852316
Coby Fleener,TE,76.5267359938603
Jared Cook,TE,76.43048055606134
Cameron Brate,TE,76.27153892007499
Charles Clay,TE,72.94424713949142
CJ Fiedorowicz,TE,72.93475812322077
Antonio Gates,TE,72.54476815623869
Julius Thomas,TE,72.41822296962317
Austin Hooper,TE,72.32480757805257
Evan Engram,TE,68.56277135700047
David Njoku,TE,66.54906423549791
OJ Howard,TE,63.303827403347555
Julio Jones,WR,183.82929866731075
Antonio Brown,WR,164.40115555256554
Jordy Nelson,WR,158.03210895584613
Odell Beckham,WR,150.75396207583046
Mike Evans,WR,147.11678123748334
Michael Thomas,WR,141.96579967840154
AJ Green,WR,141.50560737924854
Doug Baldwin,WR,138.350045612632
Dez Bryant,WR,133.0988317119498
Amari Cooper,WR,127.7935030321029
TY Hilton,WR,127.75390479590902
Terrelle Pryor,WR,124.29866135779537
Brandin Cooks,WR,117.55610589361761
Davante Adams,WR,117.33378573675151
Michael Crabtree,WR,116.36112535190571
Kelvin Benjamin,WR,115.66320223193799
Demaryius Thomas,WR,115.20823043093559
Allen Robinson,WR,114.03737374768453
Alshon Jeffery,WR,113.5546984408746
DeAndre Hopkins,WR,110.10891922354865
Golden Tate,WR,109.208053357695
Martavis Bryant,WR,108.4072832155461
Emmanuel Sanders,WR,106.92723360731462
Keenan Allen,WR,106.62349491685262
Jarvis Landry,WR,106.41794341674354
Larry Fitzgerald,WR,105.57563604560863
Julian Edelman,WR,104.61168770465099
Willie Snead,WR,104.4489396052187
Stefon Diggs,WR,103.5154134627339
Tyreek Hill,WR,102.28129522746843
Jamison Crowder,WR,100.63523279842376
Kenny Britt,WR,99.40994401245162
Randall Cobb,WR,98.0467904151731
Brandon Marshall,WR,97.54305897946706
Mike Wallace,WR,94.4897336950512
DeVante Parker,WR,93.7405708322894
Eric Decker,WR,93.70601617788435
Sammy Watkins,WR,93.49303653388365
Donte Moncrief,WR,92.81527937136384
Cameron Meredith,WR,92.02180435287735
Jordan Matthews,WR,90.09861977278707
Rishard Matthews,WR,89.23572203723442
DeSean Jackson,WR,88.76727129269203
Pierre Garcon,WR,86.63449678355379
Jeremy Maclin,WR,86.51840860558538
Tyrell Williams,WR,86.41235199267877
Ted Ginn,WR,86.13050893587871
Taylor Gabriel,WR,85.47201572369126
Sterling Shepard,WR,84.68789183849132
John Brown,WR,84.55672763709286
Marvin Jones,WR,83.75348573553634
Corey Davis,WR,83.58892958505747
Corey Coleman,WR,82.91873032555276
Adam Thielen,WR,82.23737089123935
Tyler Lockett,WR,78.89244156110169
Cole Beasley,WR,77.28122461577723
Allen Hurns,WR,76.7538256517582
Breshad Perriman,WR,74.00962533412526
Kenny Stills,WR,72.06678140829263
Robby Anderson,WR,71.34202142884449
Aaron Rodgers,QB,278.29035020421077
Tom Brady,QB,270.8179529231486
Drew Brees,QB,263.10585406636017
Matt Ryan,QB,260.6815402814973
Russell Wilson,QB,258.45040487783405
Andrew Luck,QB,253.65866571163383
Kirk Cousins,QB,251.26443450902602
Cam Newton,QB,251.0258348391987
Marcus Mariota,QB,249.95695224277438
Jameis Winston,QB,249.58374701116855
Dak Prescott,QB,248.2358322206532
Ben Roethlisberger,QB,246.86590878255606
Tyrod Taylor,QB,245.7553343071863
Matthew Stafford,QB,244.7404386842126
Derek Carr,QB,244.40257502214962
Andy Dalton,QB,242.49238701504595
Philip Rivers,QB,241.07119529825798
Carson Palmer,QB,236.4681596940613
Eli Manning,QB,235.65877840716738
Carson Wentz,QB,233.33401689446808
Alex Smith,QB,232.19073301671168
Sam Bradford,QB,230.05907486899056
Blake Bortles,QB,228.15939493976177
Joe Flacco,QB,228.08321089920707
Jay Cutler,QB,226.06537209488198
Brian Hoyer,QB,214.47224576491655
Mike Glennon,QB,212.4360620951802
Trevor Siemian,QB,212.40932357671352
Jared Goff,QB,204.42118482767228
Josh McCown,QB,203.68217124350443
Deshaun Watson,QB,191.7801673281834
DeShone Kizer,QB,160.10972860972961
