player,position,my_proj,posRank,VOR,flexRank,flexVOR
David Johnson,RB,210.5418032251379,1.0,108.47668108524677,1.0,120.48650110273663
LeVeon Bell,RB,194.5371842159672,2.0,92.47206207607606,2.0,104.48188209356591
Julio Jones,WR,176.92781755784097,1.0,88.54432256578218,3.0,86.8725154354397
Antonio Brown,WR,166.0372172550354,2.0,77.6537222629766,5.0,75.98191513263411
Leonard Fournette,RB,174.22860306849861,3.0,72.16348092860748,4.0,84.17330094609734
Jordy Nelson,WR,159.94565186537034,3.0,71.56215687331155,7.0,69.89034974296906
Odell Beckham,WR,152.37852560547324,4.0,63.99503061341446,10.0,62.32322348307197
Mike Evans,WR,148.2918440735409,5.0,59.9083490814821,14.0,58.236541951139614
Jay Ajayi,RB,161.55136370990033,4.0,59.4862415700092,6.0,71.49606158749906
Todd Gurley,RB,156.22951050114682,5.0,54.16438836125569,8.0,66.17420837874555
Michael Thomas,WR,142.34169302954624,6.0,53.95819803748745,18.0,52.28639090714496
AJ Green,WR,142.3276165898899,7.0,53.94412159783113,19.0,52.27231446748864
Marshawn Lynch,RB,155.44092270329608,6.0,53.37580056340495,9.0,65.38562058089481
Doug Baldwin,WR,139.50881131096196,8.0,51.125316318903174,20.0,49.45350918856069
Dalvin Cook,RB,152.062129296479,7.0,49.997007156587856,11.0,62.00682717407771
Jordan Howard,RB,151.86824084995942,8.0,49.80311871006829,12.0,61.81293872755815
Melvin Gordon,RB,148.9805800135664,9.0,46.915457873675265,13.0,58.92527789116512
Devonta Freeman,RB,147.9248840034517,10.0,45.859761863560564,15.0,57.86958188105042
LeSean McCoy,RB,147.19913692667922,11.0,45.134014786788086,16.0,57.143834804277944
Dez Bryant,WR,130.1726728023533,9.0,41.78917781029452,27.0,40.11737067995203
Carlos Hyde,RB,142.48054524145772,12.0,40.41542310156659,17.0,52.42524311905645
Amari Cooper,WR,128.39276224502115,10.0,40.00926725296236,31.0,38.33746012261987
TY Hilton,WR,128.12142207528674,11.0,39.73792708322796,32.0,38.06611995288547
Isaiah Crowell,RB,138.68610226930986,13.0,36.620980129418726,21.0,48.630800146908584
Terrelle Pryor,WR,124.55050843742758,12.0,36.167013445368795,36.0,34.49520631502631
DeMarco Murray,RB,136.10592585333453,14.0,34.040803713443395,22.0,46.05062373093325
Joe Mixon,RB,134.7264164244764,15.0,32.66129428458528,23.0,44.67111430207514
Ezekiel Elliott,RB,132.81181855744882,16.0,30.746696417557686,24.0,42.756516435047544
Davante Adams,WR,118.97641280163977,13.0,30.59291780958098,43.0,28.921110679238495
Doug Martin,RB,132.20692416874974,17.0,30.141802028858606,25.0,42.151622046348464
Lamar Miller,RB,131.7252502224965,18.0,29.660128082605368,26.0,41.669948100095226
Brandin Cooks,WR,116.91967017604271,14.0,28.53617518398393,45.0,26.864368053641442
Michael Crabtree,WR,116.78979128573764,15.0,28.40629629367885,46.0,26.734489163336363
Ty Montgomery,RB,130.12673138452016,19.0,28.061609244629025,28.0,40.07142926211888
Kelvin Benjamin,WR,116.26195328876905,16.0,27.878458296710264,47.0,26.206651166367777
Adrian Peterson,RB,129.5724932379889,20.0,27.507371098097778,29.0,39.517191115587636
Paul Perkins,RB,129.00830515661315,21.0,26.943183016722017,30.0,38.953003034211875
Allen Robinson,WR,113.84650195384356,17.0,25.46300696178477,48.0,23.791199831442285
Alshon Jeffery,WR,113.83453234721752,18.0,25.451037355158732,49.0,23.779230224816246
Aaron Rodgers,QB,277.92006270255683,1.0,25.432921699431205,,25.432921699431205
Rob Gronkowski,TE,108.23162613010116,1.0,25.264356967339666,61.0,18.17632400769989
Derrick Henry,RB,127.22928560185629,22.0,25.16416346196516,33.0,37.17398347945502
Mark Ingram,RB,126.11163010885618,23.0,24.046507968965045,34.0,36.0563279864549
Demaryius Thomas,WR,112.275529645878,19.0,23.89203465381921,50.0,22.220227523476723
LeGarrette Blount,RB,124.69140443456007,24.0,22.62628229466894,35.0,34.6361023121588
Bilal Powell,RB,124.4483067945628,25.0,22.383184654671666,37.0,34.393004672161524
Christian McCaffrey,RB,124.15041321048841,26.0,22.08529107059728,38.0,34.09511108808714
