player,position,my_proj
Aaron Rodgers,QB,282.3243724136982
Tom Brady,QB,273.5820192508907
Drew Brees,QB,265.399910527978
Matt Ryan,QB,262.8538374915536
Russell Wilson,QB,260.2944797767536
Andrew Luck,QB,254.7637132954273
Cam Newton,QB,252.4010864333373
Kirk Cousins,QB,252.23631250155594
Marcus Mariota,QB,250.99490234631597
Jameis Winston,QB,250.7375613711172
Ben Roethlisberger,QB,248.48646769988554
Dak Prescott,QB,248.43735496260172
Derek Carr,QB,244.60323887086972
Matthew Stafford,QB,244.2513859812535
Tyrod Taylor,QB,244.16763321993488
Andy Dalton,QB,241.69785112771527
Philip Rivers,QB,240.9736396313693
Carson Palmer,QB,235.0254714277137
Eli Manning,QB,234.90824576490274
Carson Wentz,QB,231.65841891320198
Alex Smith,QB,229.73772440343686
Sam Bradford,QB,227.49677490552727
Joe Flacco,QB,226.25546733862393
Jay Cutler,QB,224.6200815022582
Blake Bortles,QB,212.92411910952262
Brian Hoyer,QB,209.67336991958743
Trevor Siemian,QB,209.58066661889734
Mike Glennon,QB,208.46495784373784
Jared Goff,QB,200.9613155515514
Josh McCown,QB,198.98874524296934
DeShone Kizer,QB,194.5773144877607
Deshaun Watson,QB,186.65059232611452
David Johnson,RB,213.02733102687898
LeVeon Bell,RB,194.99902843915407
Leonard Fournette,RB,175.58475974583763
Jay Ajayi,RB,161.8801206672541
Dalvin Cook,RB,157.72100415937524
Todd Gurley,RB,157.47927042511031
Marshawn Lynch,RB,155.6472797104169
Jordan Howard,RB,152.646338095104
Melvin Gordon,RB,149.27248745643175
Devonta Freeman,RB,145.95533945928548
LeSean McCoy,RB,141.81465487772908
Carlos Hyde,RB,139.92824204575007
DeMarco Murray,RB,136.77531185095765
Isaiah Crowell,RB,135.7109636875874
Doug Martin,RB,133.52706370874438
Joe Mixon,RB,133.51764959910275
Ezekiel Elliott,RB,132.5786989916419
Lamar Miller,RB,131.90156125593865
Derrick Henry,RB,130.61323469610605
Adrian Peterson,RB,129.2714222934038
Mark Ingram,RB,129.20807792483643
Ty Montgomery,RB,128.82499357254807
Paul Perkins,RB,127.43533298172345
CJ Anderson,RB,124.13402176011265
Christian McCaffrey,RB,124.0413147554858
Bilal Powell,RB,123.35067215440154
Frank Gore,RB,120.65418756207997
Mike Gillislee,RB,120.19231379928443
Eddie Lacy,RB,120.11664246322479
Spencer Ware,RB,117.87762731338192
LeGarrette Blount,RB,116.66928295466862
Rex Burkhead,RB,115.61678927519739
Terrance West,RB,113.14928214104314
Ameer Abdullah,RB,111.23003146055164
Tevin Coleman,RB,110.27534960329282
Jonathan Stewart,RB,109.8673072338308
Duke Johnson,RB,104.09643027385286
Rob Kelley,RB,102.54229319379775
Matt Forte,RB,102.49916214483828
Darren McFadden,RB,99.61397486600438
Kareem Hunt,RB,98.19975935940698
Jonathan Williams,RB,97.85936748066865
Theo Riddick,RB,96.35560463242146
Giovani Bernard,RB,91.77680298542454
Shane Vereen,RB,91.68076808638178
Chris Thompson,RB,91.28881150629954
Darren Sproles,RB,90.82103309693338
Samaje Perine,RB,86.66989908430848
Jamaal Charles,RB,86.64203111682214
CJ Prosise,RB,85.12054275731958
Jamaal Williams,RB,83.5451331819074
James White,RB,82.09771937094374
Thomas Rawls,RB,81.07493536729848
DeAndre Washington,RB,80.27227391487996
Jeremy Hill,RB,80.11850328139829
Danny Woodhead,RB,79.15494047922942
Latavius Murray,RB,75.65049253603638
Dion Lewis,RB,73.40816844621503
Charles Sims,RB,73.19458999529789
Jacquizz Rodgers,RB,68.32177369484006
Cardinals,DST,133.81194259738277
Broncos,DST,123.85857496674151
Chiefs,DST,123.77075801180156
Texans,DST,111.8827792636597
Vikings,DST,103.31038974669615
Seahawks,DST,102.32759030611284
Chargers,DST,96.86090306571086
Steelers,DST,92.79016959910356
Rams,DST,91.17960823733019
Jaguars,DST,89.16810979743248
Falcons,DST,89.01397320956923
Bengals,DST,88.86294754603028
Ravens,DST,88.54389816499844
Titans,DST,73.79745941088427
Jets,DST,48.820896076546255
Rob Gronkowski,TE,108.57041103424757
Travis Kelce,TE,97.87581694364853
Greg Olsen,TE,97.83402032903882
Jordan Reed,TE,96.89157441485929
Jimmy Graham,TE,93.6423134705249
Kyle Rudolph,TE,89.9238313986309
Zach Ertz,TE,87.27326091390745
Tyler Eifert,TE,86.23335365594367
Delanie Walker,TE,84.23695122960882
