player,pos,points,rec
Kasen Williams,WR,0.06,0
Aaron Rodgers,QB,342.172,0
Tom Brady,QB,331.452,0
Matt Ryan,QB,304.454,0
Drew Brees,QB,298.592,0
Kirk Cousins,QB,293.786,0
Russell Wilson,QB,284.7,0
Dak Prescott,QB,281.076,0
Andy Dalton,QB,270.848,0
Matthew Stafford,QB,267.424,0
Marcus Mariota,QB,265.688,0
Cam Newton,QB,264.274,0
Andrew Luck,QB,260.706,0
Derek Carr,QB,258.066,0
Brian Hoyer,QB,257.896,0
Tyrod Taylor,QB,255.266,0
Jameis Winston,QB,254.574,0
Carson Palmer,QB,244.706,0
Sam Bradford,QB,236.102,0
Philip Rivers,QB,235.018,0
Alex Smith,QB,233.74,0
Eli Manning,QB,231.806,0
Ben Roethlisberger,QB,222.532,0
Carson Wentz,QB,221.122,0
Chad Henne,QB,210.032,0
Jay Cutler,QB,208.072,0
DeShone Kizer,QB,199.236,0
Tom Savage,QB,183.588,0
Trevor Siemian,QB,177.728,0
Joe Flacco,QB,172.904,0
Mike Glennon,QB,171.356,0
Josh McCown,QB,158.388,0
Jared Goff,QB,119.67,0
Matt Moore,QB,80.512,0
Blake Bortles,QB,71.234,0
Paxton Lynch,QB,53.116,0
Brock Osweiler,QB,48.354,0
Ryan Fitzpatrick,QB,31.482,0
Teddy Bridgewater,QB,29.654,0
Case Keenum,QB,26.35,0
AJ McCarron,QB,25.338,0
Cody Kessler,QB,24.2,0
Matt Cassel,QB,17.312,0
Nick Foles,QB,13.966,0
Geno Smith,QB,13.02,0
Trevone Boykin,QB,12.386,0
Colt McCoy,QB,6.758,0
Blaine Gabbert,QB,4.066,0
Scott Tolzien,QB,3.634,0
Derek Anderson,QB,3.06,0
Matt Barkley,QB,2.94,0
Kellen Moore,QB,2.916,0
Nathan Peterman,QB,2.636,0
Christian Hackenberg,QB,1.51,0
Matt Schaub,QB,1.116,0
Kevin Hogan,QB,0.44,0
Matt McGloin,QB,0.178,0
Jimmy Garoppolo,QB,0.166,0
Bryce Petty,QB,0.152,0
Connor Cook,QB,0.132,0
Jake Rudock,QB,0.074,0
Dan Orlovsky,QB,0.06,0
Chase Daniel,QB,-0.06,0
Brett Hundley,QB,-0.106,0
Kellen Clemens,QB,-0.15,0
Zach Mettenberger,QB,-0.152,0
